Weight,Height,Sport
58,1.6,1
58,1.6,1
58,1.6,1
40,1.59,0
40,1.59,0
40,1.59,0
40,1.59,0
47,1.66,0
47,1.66,0
47,1.66,0
47,1.66,0
47,1.66,0
47,1.66,0
47,1.66,0
47,1.66,0
65,1.74,0
65,1.74,0
65,1.74,0
49,1.58,0
49,1.58,0
49,1.58,0
49,1.58,0
48,1.66,0
50,1.68,0
50,1.68,0
50,1.62,0
51,1.74,0
51,1.74,0
51,1.74,0
63,1.58,1
75,1.74,1
75,1.74,1
75,1.74,1
75,1.74,1
75,1.74,1
75,1.74,1
54,1.62,0
54,1.62,0
63,1.65,1
63,1.65,1
62,1.83,0
62,1.83,0
62,1.83,0
62,1.83,0
62,1.83,0
62,1.83,0
62,1.83,0
62,1.83,0
57,1.65,0
63,1.87,0
63,1.87,0
63,1.87,0
69,1.72,1
