YEAR,WORLD_FEM_PERC
1904,1.0384706160018882
1906,0.21763913358897294
1908,0.5051896757600808
1912,1.4493744445204075
1920,2.4348844015218027
1924,3.1937814203033246
1928,4.01458306837933
1932,8.373101952277658
1936,4.098901525443465
1948,7.49062381722465
1952,23.39338654503991
1956,25.85318626603506
1960,25
1964,22.072909220872052
1968,25.070517883335214
1972,27.034687247912444
1976,26.928500012818212
1980,26.98992402256497
1984,27.235264735264735
1988,30.28907242693774
1992,33.62306581691435
1994,38.726429363718864
1996,36.195324714944896
1998,40.21428905628597
2000,37.82302576404735
2002,41.167299620227865
2004,38.686888844542004
2006,42.99463613192833
2008,41.003897383185574
2010,43.60060155136932
2012,44.473536104925735
2014,42.54909157643604
2016,45.201220398082235
